tradeDate,000001.XSHE,000002.XSHE,000004.XSHE,000005.XSHE,000006.XSHE,000007.XSHE,000008.XSHE,000009.XSHE,000010.XSHE,000011.XSHE,000012.XSHE,000014.XSHE,000016.XSHE,000017.XSHE,000018.XSHE,000019.XSHE,000020.XSHE,000021.XSHE,000022.XSHE,000023.XSHE
2015-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
2015-11-10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
2015-11-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-23,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-24,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-25,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-11-26,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-11-27,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-11-30,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-12-01,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-12-02,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-12-03,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-12-04,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
2015-12-07,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
2015-12-08,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
2015-12-09,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1
2015-12-10,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1
2015-12-11,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1
2015-12-14,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1
2015-12-15,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
2015-12-16,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
2015-12-17,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
2015-12-18,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
2015-12-21,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
2015-12-22,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
2015-12-23,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
2015-12-24,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
2015-12-25,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
2015-12-28,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
2015-12-29,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
2015-12-30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
2015-12-31,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
2016-01-04,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
2016-01-05,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1
2016-01-06,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1
2016-01-07,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2016-01-08,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2016-01-11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2016-01-12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016-01-13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016-01-14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016-01-15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016-01-18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016-01-19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2016-02-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2016-02-16,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2016-02-17,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1
2016-02-18,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
2016-02-19,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1
2016-02-22,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1
2016-02-23,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
2016-02-24,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2016-02-25,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-02-26,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-02-29,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-01,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-02,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-03,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-04,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-07,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
2016-03-08,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
2016-03-09,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
2016-03-10,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1
2016-03-11,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1
2016-03-14,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1
2016-03-15,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
2016-03-16,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-17,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-18,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-21,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-22,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-23,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-24,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
2016-03-25,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1
2016-03-28,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
2016-03-29,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1
2016-03-30,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1
2016-03-31,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1
2016-04-01,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1
2016-04-05,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1
2016-04-06,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1
2016-04-07,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
2016-04-08,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
2016-04-11,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
2016-04-12,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
2016-04-13,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
2016-04-14,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1
2016-04-15,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
2016-04-18,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
2016-04-19,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
2016-04-20,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
2016-04-21,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2016-04-22,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-04-25,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2016-04-26,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
2016-04-27,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
2016-04-28,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1
2016-04-29,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1
2016-05-03,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1
2016-05-04,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
2016-05-05,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
2016-05-06,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
2016-05-09,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
2016-05-10,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
2016-05-11,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016-05-12,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016-05-13,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016-05-16,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-05-17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-18,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-19,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-20,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-23,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-24,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-25,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
